year,init_month,sst_mdr,anomaly_mdr,sst_trop,anomaly_trop,gcm_id
2012,4,300.21973,-0.1550394694010416,297.90976,-0.2879740397135417,3
2012,5,300.2279,-0.0776875813802083,297.91858,-0.2255961100260416,3
2012,6,299.9966,-0.2437744140625,297.87955,-0.2724100748697917,3
2012,7,299.8897,-0.189727783203125,297.944,-0.2200113932291666,3
2013,4,300.2703,-0.1044413248697916,298.0823,-0.1154276529947916,3
2013,5,300.33118,0.0255839029947916,298.04398,-0.1001688639322916,3
2013,6,300.07263,-0.167755126953125,297.97244,-0.1795247395833333,3
2013,7,299.67047,-0.408966064453125,297.99838,-0.1656290690104166,3
2014,4,299.92062,-0.4541219075520833,298.23557,0.037841796875,3
2014,5,299.76147,-0.54412841796875,298.2042,0.0600179036458333,3
2014,6,299.87128,-0.369110107421875,298.21732,0.0653279622395833,3
2014,7,299.43887,-0.6405537923177084,298.19708,0.0330810546875,3
2015,4,299.85025,-0.5244954427083334,298.20676,0.0090230305989583,3
2015,5,299.80872,-0.4968770345052083,298.20798,0.063812255859375,3
2015,6,299.797,-0.4434000651041667,298.2571,0.105133056640625,3
2015,7,299.4639,-0.6155293782552084,298.293,0.1290181477864583,3
2016,4,300.22183,-0.1529337565104166,298.39404,0.1963297526041666,3
2016,5,300.37576,0.0701802571614583,298.41013,0.2659708658854167,3
2016,6,300.28873,0.04833984375,298.40024,0.2482503255208333,3
2016,7,299.92102,-0.1584269205729166,298.4046,0.2406005859375,3
2017,4,300.21964,-0.1551310221354166,298.2661,0.0684000651041666,3
2017,5,300.43484,0.129241943359375,298.2233,0.079132080078125,3
2017,6,300.0924,-0.1479695638020833,298.18665,0.0346577962239583,3
2017,7,299.9581,-0.121337890625,298.21887,0.05487060546875,3
2018,4,300.41684,0.0420939127604166,298.08115,-0.1165873209635416,3
2018,5,300.08383,-0.221771240234375,298.02664,-0.1175333658854166,3
2018,6,299.79343,-0.4469807942708333,298.05142,-0.100555419921875,3
2018,7,299.5659,-0.5135599772135416,298.0698,-0.0941975911458333,3
2019,4,300.301,-0.073760986328125,298.34488,0.1471761067708333,3
2019,5,300.10928,-0.1963094075520833,298.32767,0.1834920247395833,3
2019,6,299.88,-0.3603719075520833,298.32346,0.1714680989583333,3
2019,7,299.94083,-0.1386006673177083,298.3346,0.1706034342447916,3
2020,4,300.4978,0.123046875,298.26138,0.0636800130208333,3
2020,5,300.577,0.2713724772135417,298.24176,0.09759521484375,3
2020,6,300.4056,0.1652119954427083,298.16476,0.0127665201822916,3
2020,7,300.1971,0.1176656087239583,298.25027,0.0862630208333333,3
2021,4,300.36603,-0.00872802734375,298.01047,-0.1872762044270833,3
2021,5,300.17355,-0.132049560546875,297.96475,-0.1794230143229166,3
