year,alpha,beta,gamma,SST_MDR,SST_TROP,ANOMALY_MDR,ANOMALY_TROP,count,lambda,p_05,p_25,p_50,p_75,p_95
1992,1.4517438619928202,1.4398057687912076,-2.2221005037591386,27.443548,25.675955,-0.2778099583333322,-0.11955275000000398,5.073533812956855,3.7337373680336903,1.0,2.0,4.0,5.0,7.0
1993,1.442257774693076,1.4641578986842112,-2.2707711334767913,27.435114,25.745783,-0.2862439583333334,-0.04972475000000287,2.636734144081966,3.114488549113266,1.0,2.0,3.0,4.0,6.0
1994,1.4267091378173373,1.5236930909922741,-2.362080153377705,27.35083,25.727509,-0.37052795833333363,-0.067998750000001,1.9185992349214303,2.7808503035305843,0.0,2.0,3.0,4.0,6.0
1995,1.5447102747084205,1.7521554061290254,-2.0719663621525606,28.040411,25.87053,0.3190530416666668,0.0750222499999964,14.742988132121429,7.016729372323891,3.0,5.0,7.0,9.0,12.0
1996,1.6166322114703695,1.6970318612942143,-1.8129204341087342,27.60568,25.74581,-0.1156779583333325,-0.04969775000000354,10.697852091566403,4.528637388625501,1.0,3.0,4.0,6.0,8.0
1997,1.579393781554641,1.6972977373906648,-1.9985529110447207,27.960527,26.11735,0.23916904166666697,0.321842249999996,2.6958998858516106,3.8271334986169547,1.0,2.0,4.0,5.0,7.0
1998,1.6203855949975132,1.7911258905072365,-1.8959287518913517,28.15127,25.964533,0.4299120416666682,0.16902524999999713,11.922754441101736,7.92444552643366,4.0,6.0,8.0,10.0,13.0
1999,1.6233014849034524,1.8115959596432913,-1.9119520966263437,27.95182,25.679749,0.2304620416666694,-0.11575875000000124,10.690563558159996,9.603530326369242,5.0,7.0,9.0,12.0,15.0
2000,1.6397610900923598,1.8022269683173016,-1.8713213353482723,27.638397,25.721914,-0.08296095833333084,-0.07359375000000057,7.58750618848779,5.093494657644004,2.0,3.0,5.0,7.0,9.0
2001,1.6324115946702284,1.7777481492454033,-1.8771584252646316,28.054937,25.834852,0.33357904166666685,0.03934424999999919,7.160198053484808,8.598396464406997,4.0,7.0,8.0,10.0,14.0
2002,1.6356613258401076,1.774050912863298,-1.860921102701535,27.71842,25.880438,-0.0029379583333337678,0.08493024999999932,4.629790749684519,4.359689083499372,1.0,3.0,4.0,6.0,8.0
2003,1.6513251915391558,1.80932201226929,-1.8119984719513855,28.226748,26.021996,0.5053900416666686,0.22648824999999917,10.848624694385192,8.630842766672087,4.0,7.0,8.0,11.0,14.0
2004,1.672460783223784,1.8799314442103872,-1.7820875771390892,28.167488,25.92103,0.4461300416666667,0.12552224999999595,14.928488452935419,9.84991705543282,5.0,8.0,10.0,12.0,15.0
2005,1.6801092173918741,1.9286408181884143,-1.7960833627563904,28.250908,25.87366,0.529550041666667,0.0781522499999987,16.39848560231363,12.949447032445491,7.0,10.0,13.0,15.0,19.0
2006,1.6654319738921026,1.8857234252990227,-1.8247002773512015,28.185663,25.934443,0.46430504166666964,0.1389352499999994,5.587446874318303,9.849962797157328,5.0,8.0,10.0,12.0,15.0
2007,1.6630571410401904,1.8851645235510712,-1.8283839740783305,27.76332,25.752197,0.04196204166666817,-0.043310750000003395,5.589876385453762,6.18020334426652,2.0,4.0,6.0,8.0,11.0
2008,1.6689618557199495,1.8957918010659045,-1.81536775255244,28.018057,25.872566,0.29669904166666683,0.07705824999999678,9.709898533949112,8.097475967580898,4.0,6.0,8.0,10.0,13.0
2009,1.6494024689514393,1.9038989403050377,-1.9273330625076375,28.059977,26.042368,0.3386190416666679,0.24686024999999745,3.4999251592719474,6.1614798365721715,2.0,4.0,6.0,8.0,10.0
2010,1.6481475414895874,1.8167772545309533,-1.8400536576143556,28.35483,25.776224,0.6334720416666677,-0.019283750000003153,10.828474043202755,17.022028049489737,11.0,14.0,17.0,20.0,24.0
2011,1.6465355102101584,1.79937964844474,-1.8206479065379877,27.996576,25.71849,0.27521804166666897,-0.0770177500000031,8.180021080702613,9.796052109802192,5.0,8.0,10.0,12.0,15.0
2012,1.6437224312558891,1.7867872543340666,-1.8225961375277775,28.217049,25.90989,0.49569104166666733,0.11438224999999846,8.84084810955006,10.185286914095435,5.0,8.0,10.0,12.0,16.0
2013,1.6284841106218657,1.7354625980329206,-1.8455686077754299,28.163483,25.9049,0.44212504166666733,0.10939224999999908,2.513400725852011,8.969991079191328,4.0,7.0,9.0,11.0,14.0
2014,1.6226015576808623,1.7413877517820946,-1.8836843696665182,28.062662,26.064964,0.3413040416666675,0.2694562499999975,4.7378325390030005,5.5254998231413115,2.0,4.0,5.0,7.0,10.0
2015,1.610228998404363,1.7527231737762847,-1.9806374134616334,28.325417,26.286703,0.6040590416666696,0.491195249999997,4.052424573961422,5.452627429163991,2.0,4.0,5.0,7.0,10.0
2016,1.6347970249202837,1.7281105552843954,-1.8181178733966368,28.103231,26.098465,0.3818730416666689,0.3029572499999986,9.732335783847274,5.719628569624156,2.0,4.0,6.0,7.0,10.0
2017,1.660536746844308,1.7409742845406064,-1.6994337948244818,28.110865,26.007784,0.3895070416666684,0.2122762499999986,14.820589576036678,7.227614643777986,3.0,5.0,7.0,9.0,12.0
2018,1.7027172263040344,1.60378611781646,-1.3987693448622813,27.757444,26.010843,0.03608604166666751,0.21533524999999898,9.164258915406824,4.303321525937922,1.0,3.0,4.0,6.0,8.0
2019,1.7103115059277216,1.6034258956273602,-1.3532136799919843,28.151863,26.101835,0.4305050416666667,0.30632724999999894,9.497959415484425,7.286827110628676,3.0,5.0,7.0,9.0,12.0
2020,1.7175806642894673,1.6189520710878824,-1.3278306981213934,28.171953,26.018814,0.4505950416666664,0.2233062499999967,12.051947268540728,8.589663367838803,4.0,7.0,8.0,10.0,14.0
2021,1.7242876082680456,1.6213918915678218,-1.3037829847103808,28.009798,25.949835,0.2884400416666679,0.15432724999999792,9.93955879246076,7.321042313585773,3.0,5.0,7.0,9.0,12.0
2022,1.7230734682099489,1.615818654434298,-1.3030747467542965,28.110962,25.91031,0.3896040416666686,0.11480224999999677,8.177162832307962,9.052192863614346,4.0,7.0,9.0,11.0,14.0
2023,1.7195375498542642,1.5515909326845525,-1.326429861601675,28.972223,26.40983,1.2508650416666676,0.6143222499999972,10.190513001512683,17.210385839558683,11.0,14.0,17.0,20.0,24.0
2024,1.7181780813768577,1.515244739971277,-1.3259755272321585,28.788664,26.256594,1.0673060416666686,0.4610862499999975,11.194615662559823,15.241452643158434,9.0,13.0,15.0,18.0,22.0
2025,1.7181780813768577,1.515244739971277,-1.3259755272321585,,,,,,,,,,,
