year,alpha,beta,gamma,SST_MDR,SST_TROP,ANOMALY_MDR,ANOMALY_TROP,count,lambda,p_05,p_25,p_50,p_75,p_95
2010,0.7223254844954902,2.0488410468077394,-2.0194557264327835,28.35483,25.776224,0.6334720416666677,-0.019283750000003153,4.523668367570601,7.839316777452965,4.0,6.0,8.0,10.0,13.0
2011,0.7194643733749527,2.0155531233426833,-1.9816769236855072,27.996576,25.71849,0.27521804166666897,-0.0770177500000031,2.8818467318907124,4.16537061455154,1.0,3.0,4.0,5.0,8.0
2012,0.712198141550004,1.9823205734715688,-1.9863425878317011,28.217049,25.90989,0.49569104166666733,0.11438224999999846,2.8426529870020616,4.338871785521164,1.0,3.0,4.0,6.0,8.0
2013,0.6946921766268771,1.9221386504173144,-2.012464174543087,28.163483,25.9049,0.44212504166666733,0.10939224999999908,0.6368891643860072,3.759815260819901,1.0,2.0,4.0,5.0,7.0
2014,0.6884552795301015,1.928752262990999,-2.0534077995710165,28.062662,26.064964,0.3413040416666675,0.2694562499999975,1.882579010256672,2.2109950362977453,0.0,1.0,2.0,3.0,5.0
2015,0.6751123032729622,1.9418101598632118,-2.1590727451446603,28.325417,26.286703,0.6040590416666696,0.491195249999997,1.6004663899476481,2.1980135281548665,0.0,1.0,2.0,3.0,5.0
2016,0.7026747522349579,1.912708684753616,-1.9743995705964856,28.103231,26.098465,0.3818730416666689,0.3029572499999986,4.086390865274159,2.3046480412640493,0.0,1.0,2.0,3.0,5.0
2017,0.7395753672818168,1.9306853364302479,-1.8027398936828412,28.110865,26.007784,0.3895070416666684,0.2122762499999986,7.522633155375085,3.03105891906601,1.0,2.0,3.0,4.0,6.0
2018,0.7786101499352993,1.8004645622391227,-1.521006523361461,27.757444,26.010843,0.03608604166666751,0.21533524999999898,3.4029044480079658,1.6754059082253792,0.0,1.0,1.0,2.0,4.0
2019,0.7885668131592612,1.7995549558477655,-1.4608166146961243,28.151863,26.101835,0.4305050416666667,0.30632724999999894,4.255002635162788,3.0519976946774863,1.0,2.0,3.0,4.0,6.0
2020,0.7932365989427121,1.8097364991921825,-1.4446078260594886,28.171953,26.018814,0.4505950416666664,0.2233062499999967,4.5617776860156205,3.618664140763853,1.0,2.0,3.0,5.0,7.0
2021,0.8006512821524778,1.812357863306384,-1.4178565773304916,28.009798,25.949835,0.2884400416666679,0.15432724999999792,4.2085891833747535,3.0179987714931795,1.0,2.0,3.0,4.0,6.0
2022,0.7987435511843521,1.803223054933478,-1.4164270044753162,28.110962,25.91031,0.3896040416666686,0.11480224999999677,3.226437019441105,3.8139962895908197,1.0,2.0,4.0,5.0,7.0
2023,0.7945611208900727,1.7191234260072397,-1.4436392319105351,28.972223,26.40983,1.2508650416666676,0.6143222499999972,3.7559900220372135,7.831020359752642,4.0,6.0,8.0,10.0,13.0
2024,0.7934596935330929,1.6843226510121805,-1.4422280835894803,28.788664,26.256594,1.0673060416666686,0.4610862499999975,5.199100620979083,6.863077088675249,3.0,5.0,7.0,9.0,11.0
2025,0.7934596935330929,1.6843226510121805,-1.4422280835894803,,,,,,,,,,,
