year,alpha,beta,gamma,SST_MDR,SST_TROP,ANOMALY_MDR,ANOMALY_TROP,count,lambda,p_05,p_25,p_50,p_75,p_95
2014,1.7976977639169118,1.2672869533410664,-1.1215376499459928,28.062662,26.064964,0.3413040416666675,0.2694562499999975,3.0,6.875900340905078,3.0,5.0,7.0,9.0,11.0
2015,1.7950843563106378,1.2700153573518056,-1.1410819476148406,28.325417,26.286703,0.6040590416666696,0.491195249999997,7.0,7.40203219493136,3.0,5.0,7.0,9.0,12.0
2016,1.8087285692864885,1.2522869429858372,-1.0571710339001674,28.103231,26.098465,0.3818730416666689,0.3029572499999986,10.0,7.146806145943468,3.0,5.0,7.0,9.0,12.0
2017,1.8149946124745835,1.2521448629349479,-1.0270105542995072,28.110865,26.007784,0.3895070416666684,0.2122762499999986,10.0,8.042209867753805,4.0,6.0,8.0,10.0,13.0
2018,1.8573367474492732,1.1177874379032227,-0.7726453600175202,27.757444,26.010843,0.03608604166666751,0.21533524999999898,13.0,5.6479660531158515,2.0,4.0,5.0,7.0,10.0
2019,1.8567770311887064,1.118160741857125,-0.7761951349078622,28.151863,26.101835,0.4305050416666667,0.30632724999999894,8.0,8.169283015434926,4.0,6.0,8.0,10.0,13.0
2020,1.8771113159696826,1.14938348141587,-0.6868423094977822,28.171953,26.018814,0.4505950416666664,0.2233062499999967,19.0,9.408764356139061,5.0,7.0,9.0,11.0,15.0
2021,1.8766540823797981,1.1495995461921957,-0.688635792968124,28.009798,25.949835,0.2884400416666679,0.15432724999999792,8.0,8.18226784784802,4.0,6.0,8.0,10.0,13.0
2022,1.876056168082133,1.1471115762344974,-0.6887151125214803,28.110962,25.91031,0.3896040416666686,0.11480224999999677,9.0,9.430125733422331,5.0,7.0,9.0,11.0,15.0
2023,1.8779757689365895,1.0506506265625217,-0.724103341308626,28.972223,26.40983,1.2508650416666676,0.6143222499999972,11.0,15.60146959839188,9.0,13.0,15.0,18.0,22.0
2024,1.878571727020431,1.0099908205490138,-0.7220512394612427,28.788664,26.256594,1.0673060416666686,0.4610862499999975,11.0,13.785442354423777,8.0,11.0,14.0,16.0,20.0
2025,1.878571727020431,1.0099908205490138,-0.7220512394612427,,,,,,,,,,,
